start:  8  36  54 
Частота,                ПОДАНО       
 1.0000000e09                -3.0000000e01       
 1.0010000e09                -3.0000000e01       
 1.0020000e09                -3.0000000e01       
 1.0030000e09                -3.0000000e01       
 1.0040000e09                -3.0000000e01       
 1.0050000e09                -3.0000000e01       
 1.0060000e09                -3.0000000e01       
 1.0070000e09                -3.0000000e01       
stop:  8  37  9 
